Provider,PotentialFraud,AttendingPhysician
PRV55912,Yes,PHY390922
PRV55912,Yes,PHY349293
PRV55912,Yes,PHY334706
PRV55912,Yes,PHY390614
PRV55912,Yes,PHY380413
PRV55912,Yes,PHY418191
PRV55912,Yes,PHY318892
PRV55912,Yes,PHY319720
PRV55912,Yes,PHY340849
PRV55912,Yes,PHY410728
PRV55912,Yes,PHY414999
PRV55912,Yes,PHY414999
PRV55912,Yes,PHY410835
PRV55912,Yes,PHY361763
PRV55912,Yes,PHY333901
PRV55912,Yes,PHY393882
PRV55912,Yes,PHY339551
PRV55912,Yes,PHY354336
PRV55912,Yes,PHY384397
PRV55912,Yes,PHY416660
PRV55912,Yes,PHY403495
PRV55912,Yes,PHY330172
PRV55912,Yes,PHY429166
PRV55912,Yes,PHY339551
PRV55912,Yes,PHY320873
PRV55912,Yes,PHY354336
PRV55912,Yes,PHY390614
PRV55912,Yes,PHY361763
PRV55912,Yes,PHY370861
PRV55912,Yes,PHY414999
PRV55912,Yes,PHY339551
PRV55912,Yes,PHY368401
PRV55912,Yes,PHY387346
PRV55912,Yes,PHY335210
PRV55912,Yes,PHY390043
PRV55912,Yes,PHY414999
PRV55912,Yes,PHY410835
PRV55912,Yes,PHY414999
PRV55912,Yes,PHY399908
PRV55912,Yes,PHY380413
PRV55912,Yes,PHY420794
PRV55912,Yes,PHY370861
PRV55912,Yes,PHY368401
PRV55912,Yes,PHY393882
PRV55912,Yes,PHY400663
PRV55912,Yes,PHY414999
PRV55912,Yes,PHY410835
PRV55912,Yes,PHY370861
PRV55912,Yes,PHY403495
PRV55912,Yes,PHY382830
PRV55912,Yes,PHY323689
PRV55912,Yes,PHY425136
PRV55912,Yes,PHY390614
PRV55912,Yes,PHY431474
PRV55912,Yes,PHY382830
PRV55912,Yes,PHY429928
PRV55912,Yes,PHY418191
PRV55912,Yes,PHY399908
PRV55912,Yes,PHY352158
PRV55912,Yes,PHY380413
PRV55907,No,PHY318495
PRV55907,No,PHY369014
PRV55907,No,PHY328529
PRV55907,No,PHY391371
PRV55907,No,PHY376827
PRV55907,No,PHY346515
PRV55907,No,PHY348866
PRV55907,No,PHY424658
PRV55907,No,PHY426156
PRV55907,No,PHY324847
PRV55907,No,PHY348860
PRV55907,No,PHY329595
PRV55907,No,PHY401871
PRV55907,No,PHY365165
PRV55907,No,PHY329595
PRV55907,No,PHY415764
PRV55907,No,PHY346515
PRV55907,No,PHY345209
PRV55907,No,PHY377939
PRV55907,No,PHY373938
PRV55907,No,PHY339058
PRV55907,No,PHY346515
PRV55907,No,PHY424174
PRV55907,No,PHY351702
PRV55907,No,PHY344050
PRV55907,No,PHY373531
PRV55907,No,PHY339058
PRV55907,No,PHY397793
PRV55907,No,PHY409279
PRV55907,No,PHY324847
PRV55907,No,PHY343041
PRV55907,No,PHY391371
PRV55907,No,PHY345209
PRV55907,No,PHY406251
PRV55907,No,PHY415764
PRV55907,No,PHY373044
PRV55907,No,PHY391371
PRV55907,No,PHY397793
PRV55907,No,PHY369014
PRV55907,No,PHY406251
PRV55907,No,PHY432761
PRV55907,No,PHY339058
PRV55907,No,PHY375412
PRV55907,No,PHY363806
PRV55907,No,PHY318495
PRV55907,No,PHY342738
PRV55907,No,PHY376827
PRV55907,No,PHY363806
PRV55907,No,PHY337037
PRV55907,No,PHY328529
PRV55907,No,PHY424658
PRV55907,No,PHY406251
PRV55907,No,PHY343041
PRV55907,No,PHY373938
PRV55907,No,PHY432761
PRV55907,No,PHY388919
PRV55907,No,PHY331543
PRV55907,No,PHY351702
PRV55907,No,PHY377939
PRV55907,No,PHY369014
